gene,importance,importance_std
ssgsea_HALLMARK_NOTCH_SIGNALING,0.0003638167686456584,0.0017807958493099801
ssgsea_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0002976682652555518,0.0008744371798513175
ssgsea_HALLMARK_UV_RESPONSE_UP,0.0002645940135604985,0.0010735129728538092
gene_CCDST,0.00023978832478919188,0.0010254018206069392
ssgsea_HALLMARK_DNA_REPAIR,0.00019844551017038082,0.0009930540629073895
gene_MMP1,0.00019844551017037527,0.001591864799220626
ssgsea_HALLMARK_MTORC1_SIGNALING,0.00017363982139907973,0.0014823344966094227
gene_ADH1B,0.00016537125847531086,0.002108726724563596
ssgsea_HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00015710269555155865,0.001636653370424233
gene_CFAP251,0.0001571026955515531,0.0011233992268123896
immune_immune_score,0.00011575988093275314,0.0015094147813755725
gene_RSRC1,0.0001074913180089787,0.0013191143997052588
immune_Pan_macrophage_score,8.268562923768874e-05,0.0009200053610518348
ssgsea_HALLMARK_ANGIOGENESIS,5.787994046638767e-05,0.001580377420492459
gene_ERBB2,0.0,0.0019263267334581945
gene_TLR2,0.0,0.0007045281430177139
gene_IL1B,0.0,0.0020926326305698143
gene_COL1A1,0.0,0.000908789923203846
gene_BTG3,0.0,0.001687192109473656
gene_PTGS2,0.0,0.002393945318894995
gene_THBS1,0.0,0.0026508966309924174
gene_FCGR3A,0.0,0.0015128306981587558
gene_SERPINE1,0.0,0.004056579217592058
ssgsea_HALLMARK_BILE_ACID_METABOLISM,0.0,0.002248015307295894
ssgsea_HALLMARK_APICAL_SURFACE,0.0,0.0023134842108847352
ssgsea_HALLMARK_APICAL_JUNCTION,0.0,0.001293600747914954
gene_NUCB2,0.0,0.0011109145856502238
gene_LOX,0.0,0.0013937128228833711
gene_TP63,0.0,0.0017269027779989819
gene_COL4A1,0.0,0.0035216313290556355
gene_KRT17,0.0,0.001065939312721914
gene_APOL1,0.0,0.0021759992331974085
gene_HCG22,0.0,0.001875542655590674
ssgsea_HALLMARK_HEDGEHOG_SIGNALING,0.0,0.00238460251323466
ssgsea_HALLMARK_E2F_TARGETS,0.0,0.0008349201628155714
ssgsea_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,0.0013076621815542116
ssgsea_HALLMARK_G2M_CHECKPOINT,0.0,0.0020948041486475886
ssgsea_HALLMARK_HYPOXIA,0.0,0.002685883290455856
ssgsea_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0,0.0010980390053889457
ssgsea_HALLMARK_PROTEIN_SECRETION,0.0,0.0010784374430040918
ssgsea_HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0,0.0009396740660596584
ssgsea_HALLMARK_KRAS_SIGNALING_DN,0.0,0.0020973320282632758
ssgsea_HALLMARK_MITOTIC_SPINDLE,0.0,0.0013775286862845438
ssgsea_HALLMARK_XENOBIOTIC_METABOLISM,0.0,0.0013907663846709222
ssgsea_HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,0.0010724934921178052
ssgsea_HALLMARK_TGF_BETA_SIGNALING,0.0,0.0036813124207663236
ssgsea_HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0,0.0007091708828308879
