gene_symbol,GSM1020099,GSM1020100,GSM1020101,GSM1020102,GSM1020103,GSM1020104,GSM1020105,GSM1020106
ABCA2,4.71675556864229,4.87195069043779,4.57170897832033,4.83725028571953,4.60389888276078,4.76485128167413,4.57833690895671,4.76029365568885
ABCA3,5.70311551603736,5.58904515869679,5.7614060043213,5.37853763394462,5.59385314686605,6.27955305337614,5.63240225872655,5.72206011854054
ABCA4,4.82898517953588,4.51384931697634,5.18500815047357,5.82356541360453,5.02433916490377,4.62133161960631,5.32639742475511,8.16125414458811
ABCA5,4.48420338389047,4.70523720727749,3.9719069948523,3.93639518739209,4.69237909031199,4.38554907011008,4.76800869547525,5.00786724150405
ABCA6,3.36364161179765,3.7444285587097,3.60367624905582,3.54465778740968,3.50960466960491,3.98844905479104,3.72517030828546,3.37994107122286
ABCA7,5.62879293717212,5.55778359402371,5.95235410685459,5.53998428372119,5.60812271298,5.96666770177924,5.32876544194878,5.50894461822765
ABCA8,3.96714269048152,6.08911892272884,5.19452828763767,3.56391906203172,5.23887085349051,5.35876268781376,5.04823743563389,4.59304192611261
ABCA9,3.26751700486588,4.13447294355811,3.56578919633507,3.51979267498888,3.49692237856303,3.36344486886614,3.03234002076547,3.31132379657427
ABCB1,4.19389061077404,5.34655544726047,4.22761685408313,3.80263375305991,5.24431699167068,5.66069010637985,4.47719581352462,4.41537356870711
ABCB10,7.53511000917141,6.31128220474949,6.88889868158487,6.9059918363775,6.61993383445517,6.4005180941427,6.46100864608728,6.89512780688472
ABCB11,4.00555418928251,4.02418968923315,3.96802588366905,4.0111259509074,4.12137031241324,3.93155042939466,4.02343736270076,4.28108956391336
ABCB4,4.39055406820586,4.92234125183691,4.28339808798917,4.1095701313657,4.39888559915987,5.18965422604944,4.33322883756891,4.26205181679603
ABCB5,4.70122884633883,4.43643027984655,4.37538599933977,4.39570349880898,4.4310463675128,4.54083821465462,4.53290168455174,4.83107249684959
ABCB6,5.21506847010699,7.15516575808847,6.68069812569761,6.70291065668555,6.62816964699847,6.11427068246948,5.7391749998279,8.70966846607425
ABCB7,7.17013532331782,7.40880375826331,7.64000092281573,7.95022316461387,7.73185833974417,7.42417897340495,7.49641318169762,7.40096208114214
ABCB8,5.42243098035615,5.2752763099031,6.0267029024621,5.8551920018718,5.47723420454053,5.13714902793355,5.17881682881904,5.33386067041054
ABCB9,4.51403123423703,4.63365992116244,4.89680982022358,5.20237693952407,4.90103089127921,5.0438490321402,5.13305253424774,4.47577108636211
ABCC1,6.64605862219054,8.13958373754682,7.46167182137822,7.3358864607464,6.98078978940887,6.88811194292879,6.9586685000507,9.01125941899484
